Club,Squad,Age,Value,mValue
Toronto FC,Toronto FC,32,"24,200,000","756,000"
Seattle Sounders FC,Sounders FC,37,"19,280,000","521,000"
New York City FC,NYC FC,29,"15,250,000","526,000"
Portland Timbers,Portland,30,"13,780,000","459,000"
Montreal Impact,Montreal,40,"13,530,000","338,000"
Philadelphia Union,Philadelphia,28,"12,430,000","444,000"
San Jose Earthquakes,SJ Earthquakes,32,"12,300,000","384,000"
Orlando City SC,Orlando City SC,28,"11,330,000","404,000"
Houston Dynamo,Houston Dynamo,26,"10,950,000","421,000"
Chicago Fire,Chicago Fire,28,"10,180,000","363,000"
Columbus Crew,Columbus Crew,32,"8,980,000","280,000"
New England Revolution,Revolution,25,"8,080,000","323,000"
Sporting Kansas City,Sporting KC,31,"8,030,000","259,000"
FC Dallas,FC Dallas,27,"7,980,000","295,000"
DC United,DC United,29,"7,780,000","268,000"
Vancouver Whitecaps,Vancouver,32,"7,630,000","238,000"
Real Salt Lake City,Real Salt Lake,30,"7,180,000","239,000"
New York Red Bulls,NY Red Bulls,28,"6,680,000","238,000"
Los Angeles Galaxy,LA Galaxy,24,"5,780,000","241,000"
Colorado Rapids,Colorado Rapids,25,"3,730,000","149,000"
