Club,Squad,Age,Value_unformatted, mValue_unformatted ,Value, mValue 
Juventus Turin,Juventus Turin,27,? 321.7 million," 11,910,000 ",321700000,11910000
AS Roma,AS Roma,30,? 260.7 million, ? 8.69 million ,260700000,8690000
SSC Napoli,SSC Napoli,26,251250000.00," 9,660,000 ",251250000,9660000
Inter Milan,Inter Milan,28,? 227.4 million," 8,120,000 ",227400000,8120000
AC Milan,AC Milan,31,? 220.9 million," 7,130,000 ",220900000,7130000
Fiorentina,Fiorentina,32,171950000.00, ? 5.37 million ,171950000,5370000
Lazio Rome,Lazio Rome,31,? 152.1 million," 4,910,000 ",152100000,4910000
Sampdoria,UC Sampdoria,28,? 108.7 million," 3,880,000 ",108700000,3880000
US Sassuolo,US Sassuolo,28,82850000.00, ? 2.96 million ,82850000,2960000
FC Genua 1893,FC Genoa,25,? 81.8 million, ? 3.27 million ,81800000,3270000
Udinese Calcio,Udinese Calcio,27,77350000.00, ? 2.86 million ,77350000,2860000
US Palermo,US Palermo,28,? 63.4 million, ? 2.26 million ,63400000,2260000
Cagliari Calcio,Cagliari Calcio,29,? 61.6 million, ? 2.12 million ,61600000,2120000
FC Turin,FC Turin,25,? 57.7 million, ? 2.31 million ,57700000,2310000
Atalanta Bergamo,Atal.ÿBergamo,29,54350000.00, ? 1.87 million ,54350000,1870000
Chievo Verona,Chievo Verona,27,52680000.00, ? 1.95 million ,52680000,1950000
FC Parma,FC Parma,26,47850000.00, ? 1.84 million ,47850000,1840000
Empoli FC,Empoli FC,23,43930000.00, ? 1.91 million ,43930000,1910000
Hellas Verona,Hellas Verona,27,38450000.00, ? 1.42 million ,38450000,1420000
AC Cesena,AC Cesena,27,25250000.00, .935 million ,25250000,935000
